"","Despesas","Divida","PIB","PIB.per.capita","Nacao","Year"
"101",44.1329000361832,NA,1362248940482.77,22364.0293943406,"FRA",2000
"102",45.0159798687691,NA,2115742488204.62,33741.2651469175,"FRA",2004
"103",44.6826820184904,NA,2918382891460.38,45334.1144358246,"FRA",2008
"104",48.0719239335045,NA,2683825225092.63,40874.7035053457,"FRA",2012
"105",47.7862289957294,NA,2471285607081.72,37038.9551282086,"FRA",2016
"106",NA,NA,NA,NA,"GER",1960
"107",NA,NA,NA,NA,"GER",1964
"108",NA,NA,NA,NA,"GER",1968
"109",20.1685434479767,NA,299801542231.491,3809.98144723309,"GER",1972
"110",24.6418565541539,NA,519754453161.411,6634.85689909309,"GER",1976
"111",25.384544295982,NA,950290856574.134,12138.3081048011,"GER",1980
"112",26.1967568826196,NA,725111123771.562,9313.16941419653,"GER",1984
"113",25.5457520621882,NA,1401233225526.23,17931.282325738,"GER",1988
"114",31.30671069175,24.0875473165458,2131571696931.75,26438.2303888417,"GER",1992
"115",32.4507905776057,36.5401603923105,2497244606186.64,30485.8665482279,"GER",1996
"116",31.3132203936295,NA,1943145384190.16,23635.9292203977,"GER",2000
"117",30.3906705797076,NA,2809187981127.39,34044.0536341248,"GER",2004
"118",28.2725241410726,NA,3730027830672.33,45427.151677489,"GER",2008
"119",28.4938677234993,NA,3527344944139.83,43858.3630551076,"GER",2012
"120",27.8616827797454,NA,3466790065011.83,42098.9204453545,"GER",2016
"121",NA,NA,40461721692.6468,2259.29428549881,"CAN",1960
"122",NA,NA,49377522896.703,2555.11114601309,"CAN",1964
"123",NA,NA,71829810519.8955,3462.67887195794,"CAN",1968
"124",NA,NA,113082820992.019,5089.58792478217,"CAN",1972
"125",NA,NA,206575564401.623,8809.26463882445,"CAN",1976
"126",NA,NA,273853826377.01,11170.5639653618,"CAN",1980
"127",NA,NA,355372558103.621,13877.9170763469,"CAN",1984
"128",NA,NA,507354351182.254,18936.9641024997,"CAN",1988
"129",25.6199905309775,NA,592387689252.916,20879.8483300891,"CAN",1992
"130",22.4184181754749,NA,628546387972.131,21227.3475315896,"CAN",1996
"131",18.8371917926891,NA,742295468318.632,24190.2496150045,"CAN",2000
"132",17.3248676549134,NA,1023196771714.07,32034.3077408421,"CAN",2004
"133",17.1258431275988,NA,1549131208997.19,46594.4509535289,"CAN",2008
"134",17.5597759061843,NA,1823966686523.63,52542.3466648232,"CAN",2012
"135",17.5133806101716,NA,1526705529135.32,42279.9008231637,"CAN",2016
"136",NA,NA,15165569912.5199,210.109899384623,"BRA",1960
"137",NA,NA,21211892259.9904,261.66661956418,"BRA",1964
"138",NA,NA,33875881876.3672,374.786775401462,"BRA",1968
"139",NA,NA,58539008786.3684,586.214404973525,"BRA",1972
"140",NA,NA,152678020452.829,1390.62497537665,"BRA",1976
"141",18.5738607002404,NA,235024598983.261,1947.27643012721,"BRA",1980
"142",19.5549412036122,NA,209023912696.839,1578.92641703719,"BRA",1984
"143",30.1263788156626,NA,330397381998.489,2300.37684355265,"BRA",1988
"144",28.4832206205625,NA,400599250000,2596.91987612034,"BRA",1992
"145",NA,NA,850426432991.742,5166.16374470632,"BRA",1996
"146",21.3681148648164,NA,655420645476.906,3749.75324996168,"BRA",2000
"147",22.7005184708353,NA,669316654017.094,3637.46238925733,"BRA",2004
"148",27.3054587596332,60.6559304867725,1695824565983.2,8831.02311697566,"BRA",2008
"149",30.1777956851509,59.8494899958247,2465188674415.03,12370.0242007149,"BRA",2012
"150",35.6756739650237,73.4188038096759,1795700168991.49,8710.09668954121,"BRA",2016
"151",NA,NA,18577668271.9229,1807.78571021206,"AUS",1960
"152",NA,NA,23764139321.3126,2128.06835509202,"AUS",1964
"153",NA,NA,32665472057.3412,2720.08260948799,"AUS",1968
"154",18.0851542127507,NA,51967289719.6262,3943.7876390397,"AUS",1972
"155",23.6802268303818,NA,104921215177.108,7476.74874774519,"AUS",1976
"156",23.3977816296318,NA,149774930362.117,10194.3187014782,"AUS",1980
"157",26.5106993223294,NA,193242166274.226,12431.9458488308,"AUS",1984
"158",24.2483559233073,NA,235659196740.396,14254.5575749384,"AUS",1988
"159",24.4851339835243,14.173373733548,324878874105.975,18569.8127525565,"AUS",1992
"160",24.6270368215254,21.8677442527374,400302731411.229,21861.32550987,"AUS",1996
"161",24.0839192992911,29.590461598496,415222633925.768,21679.2478424147,"AUS",2000
"162",25.6962808885544,0.0229722463210145,612490396927.017,30430.6764374443,"AUS",2004
"163",24.3704095682287,0.0183978262365233,1053995523724.26,49601.6567082178,"AUS",2008
"164",26.1430463540826,0.0399077533348717,1546151783872.96,68012.1479005934,"AUS",2012
"165",26.9385336668445,0.054648482520169,1208846993739.99,49971.131456129,"AUS",2016
